ACTUAL,pr_out1,pr_out2,pr_out3,pr_out4,pr_out5,pr_out6,pr_out7,pr_out8,pr_out9,pr_out10,average output,error,% error
78,78,78,78,78,76,78,78,78,78,78,77.8,0.002564103,0.256410256
75,88,88,88,88,88,88,88,88,88,88,88,0.173333333,17.33333333
82,84,84,84,84,84,84,84,84,84,84,84,0.024390244,2.43902439
83,70,70,70,66,70,70,70,66,70,70,69.2,0.16626506,16.62650602
81,81,81,81,81,81,81,81,81,81,81,81,0,0
82,81,81,81,81,81,81,81,81,81,81,81,0.012195122,1.219512195
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,67,68,68,66,66,68,68,67,68,68,67.4,0.21627907,21.62790698
85,88,86,88,86,86,86,86,86,86,86,86.4,0.016470588,1.647058824
84,86,88,86,86,86,86,86,88,88,86,86.6,0.030952381,3.095238095
86,86,86,86,86,86,86,86,86,86,83,85.7,0.003488372,0.348837209
86,89,89,86,88,86,88,89,88,88,88,87.9,0.022093023,2.209302326
85,61,61,61,61,61,61,61,61,61,61,61,0.282352941,28.23529412
84,84,84,84,84,84,84,84,84,84,84,84,0,0
86,72,72,72,72,72,72,72,72,72,72,72,0.162790698,16.27906977
88,77,77,77,77,77,77,77,77,77,77,77,0.125,12.5
89,89,88,88,88,88,88,89,89,88,89,88.4,0.006741573,0.674157303
88,83,83,83,83,83,83,83,83,83,83,83,0.056818182,5.681818182
86,65,65,65,65,65,65,65,65,65,65,65,0.244186047,24.41860465
90,79,79,79,79,79,79,79,79,79,79,79,0.122222222,12.22222222
89,84,84,84,84,84,84,84,84,84,84,84,0.056179775,5.617977528
90,84,84,84,84,84,84,84,84,84,84,84,0.066666667,6.666666667
89,86,86,86,86,86,86,86,86,86,86,86,0.033707865,3.370786517
90,78,79,78,78,79,79,78,78,79,79,78.5,0.127777778,12.77777778
83,74,74,74,74,74,74,74,74,74,74,74,0.108433735,10.84337349
78,83,83,84,84,83,83,84,83,83,84,83.4,0.069230769,6.923076923
84,61,61,61,61,61,61,61,61,61,61,61,0.273809524,27.38095238
88,66,66,66,66,66,66,66,66,66,66,66,0.25,25
88,82,82,82,84,82,82,82,82,82,82,82.2,0.065909091,6.590909091
89,80,80,80,80,80,80,80,80,80,80,80,0.101123596,10.11235955
88,82,82,82,82,82,82,82,82,82,82,82,0.068181818,6.818181818
90,71,73,71,73,73,73,73,73,71,71,72.2,0.197777778,19.77777778
90,66,66,66,66,66,66,66,66,66,66,66,0.266666667,26.66666667
88,90,90,90,90,90,90,90,90,88,88,89.6,0.018181818,1.818181818
88,69,69,69,69,69,69,69,69,69,69,69,0.215909091,21.59090909
82,81,81,81,81,81,81,81,81,81,81,81,0.012195122,1.219512195
81,84,84,84,84,84,84,84,84,84,84,84,0.037037037,3.703703704
78,86,86,86,84,86,86,84,84,86,86,85.4,0.094871795,9.487179487
82,89,88,88,89,88,89,88,88,88,88,88.3,0.076829268,7.682926829
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
80,71,68,68,69,71,68,71,69,71,71,69.7,0.12875,12.875
85,82,82,82,82,82,82,82,82,82,82,82,0.035294118,3.529411765
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
86,72,72,72,72,72,72,72,72,72,72,72,0.162790698,16.27906977
84,76,76,74,74,74,74,76,76,74,76,75,0.107142857,10.71428571
88,84,88,84,84,84,88,84,88,84,88,85.6,0.027272727,2.727272727
88,83,83,83,83,83,83,83,83,83,83,83,0.056818182,5.681818182
89,86,86,86,86,86,86,86,86,86,86,86,0.033707865,3.370786517
90,73,73,73,73,73,73,73,73,73,73,73,0.188888889,18.88888889
88,84,84,84,84,84,84,84,84,84,84,84,0.045454545,4.545454545
85,74,74,74,74,74,74,74,74,74,74,74,0.129411765,12.94117647
84,72,72,72,72,72,72,72,72,72,72,72,0.142857143,14.28571429
86,84,84,84,84,84,84,84,84,84,84,84,0.023255814,2.325581395
84,73,73,73,73,73,73,73,73,73,73,73,0.130952381,13.0952381
82,82,82,82,82,82,82,82,82,82,82,82,0,0
86,84,84,84,84,84,84,86,86,84,86,84.6,0.01627907,1.627906977
80,84,84,84,84,84,84,80,84,84,80,83.2,0.04,4
